no,id_wa,tanggal_daftar,nama_wilayah_adat,provinsi,kabupaten_kota,kecamatan,peta,status,kebijakan,url_detail
750,bEZmN2hqTmpCQUE,14 Nop 2012,Nua Mukureku,Nusa Tenggara Timur,ENDE,Lepembusu Keli Soke,Ada,Terverifikasi,Ada,https://brwa.or.id/wa/view/bEZmN2hqTmpCQUE
751,cVVISlpJY0tJd1U,15 Jul 2013,Marga Bathin VIII,Jambi,SAROLANGUN,-,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/cVVISlpJY0tJd1U
752,RXhvdkRmbHota0U,15 Jul 2013,Ngaju Penda Ketapi,Kalimantan Tengah,KAPUAS,-,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/RXhvdkRmbHota0U
753,akhUZGxtd3JkamM,15 Jul 2013,Ngaju Pantai,Kalimantan Tengah,KAPUAS,-,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/akhUZGxtd3JkamM
754,SXFWd283ZmFNQ1U,13 Ags 2015,To Bada Pada,Sulawesi Tengah,POSO,Lore Selatan,Ada,Terverifikasi,Tidak Ada,https://brwa.or.id/wa/view/SXFWd283ZmFNQ1U
755,M042dXR1TTV2UFU,13 Ags 2015,Rompo,Sulawesi Tengah,POSO,-,Ada,Teregistrasi,Tidak Ada,https://brwa.or.id/wa/view/M042dXR1TTV2UFU
756,VWU4cWlBOG9BOWs,13 Ags 2015,Toipan,Sulawesi Tengah,BANGGAI,Pagimana,Ada,Terverifikasi,Tidak Ada,https://brwa.or.id/wa/view/VWU4cWlBOG9BOWs
757,d0VoQXVLajIyaGs,08 Ags 2015,Matobiai,Sulawesi Tengah,TOJO UNA-UNA,-,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/d0VoQXVLajIyaGs
758,aWRTbUVYLVJiOG8,13 Ags 2015,Lipu Tampemadoro,Sulawesi Tengah,POSO,Lage,Ada,Terverifikasi,Tidak Ada,https://brwa.or.id/wa/view/aWRTbUVYLVJiOG8
759,bFhjdEc0M1hRQ0k,13 Ags 2015,Kampung (Gintu),Sulawesi Tengah,POSO,Lore Selatan,Ada,Terverifikasi,Tidak Ada,https://brwa.or.id/wa/view/bFhjdEc0M1hRQ0k
760,bmZvWm5idFBFZEk,08 Ags 2015,Uri Kendekan,Sulawesi Selatan,LUWU UTARA,-,Ada,Terverifikasi,Ada,https://brwa.or.id/wa/view/bmZvWm5idFBFZEk
761,N2NGOXkyU21MaGs,25 Ags 2015,Siteba,Sulawesi Selatan,LUWU,Walenrang Utara,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/N2NGOXkyU21MaGs
762,aWZDWW1EeF9vSjA,25 Ags 2015,Makawa,Sulawesi Selatan,LUWU,Walenrang Utara,Ada,Terverifikasi,Ada,https://brwa.or.id/wa/view/aWZDWW1EeF9vSjA
